City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,23.35,32,100,2.44,RU,1719456887
1,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,1719456888
2,mejit,10.2753,170.8646,27.93,79,93,6.9,MH,1719456890
3,virpur,23.1833,73.4833,30.25,72,100,3.8,IN,1719456891
4,edinburgh of the seven seas,-37.0676,-12.3116,12.19,82,98,16.21,SH,1719456892
5,kruisfontein,-34.0033,24.7314,10.8,87,4,1.82,ZA,1719456894
6,yaren,-0.5472,166.916,29.13,72,64,6.13,NR,1719456895
7,capayan,-28.761,-66.0502,9.33,52,52,0.81,AR,1719456897
8,midar,34.9403,-3.5331,18.65,87,100,2.11,MA,1719456898
9,longyearbyen,78.2186,15.6401,5.91,87,75,7.2,SJ,1719456904
10,the pas,53.8251,-101.2541,19.01,48,40,1.03,CA,1719456906
11,port-aux-francais,-49.35,70.2167,3.17,83,70,5.5,TF,1719456735
12,grand falls-windsor,48.9332,-55.6649,18.06,82,35,3.94,CA,1719456909
13,puerto ayora,-0.7393,-90.3518,21.42,96,82,0.89,EC,1719456911
14,aasiaat,68.7098,-52.8699,2.14,85,62,4.56,GL,1719456912
15,adamstown,-25.066,-130.1015,22.51,85,0,3.54,PN,1719456914
16,magadan,59.5667,150.8,7.48,95,100,2.05,RU,1719456915
17,sao joao da barra,-21.6403,-41.0511,22.31,91,4,3.99,BR,1719456917
18,kodiak,57.79,-152.4072,9.73,93,100,5.14,US,1719456920
19,salalah,17.0151,54.0924,27.62,90,95,4.18,OM,1719456689
20,newman,37.3138,-121.0208,31.83,25,0,1.79,US,1719456923
21,wailua homesteads,22.0669,-159.378,30.24,85,43,1.34,US,1719456924
22,vila velha,-20.3297,-40.2925,21.97,94,0,1.03,BR,1719456926
23,selfoss,63.9331,-20.9971,8.91,77,100,3.26,IS,1719456928
24,constantia,44.1833,28.65,17.61,68,0,0.81,RO,1719456930
25,dipayal,29.2608,80.94,26.21,76,99,1.34,NP,1719456933
26,bredasdorp,-34.5322,20.0403,10.52,93,0,1.46,ZA,1719456942
27,yellowknife,62.456,-114.3525,20.31,30,40,4.63,CA,1719456944
28,olonkinbyen,70.9221,-8.7187,2.24,82,100,1.44,SJ,1719456945
29,papatowai,-46.5619,169.4708,10.21,72,6,2.24,NZ,1719456947
30,invercargill,-46.4,168.35,8.34,94,13,0.89,NZ,1719456702
31,margaret river,-33.95,115.0667,14.0,79,89,3.56,AU,1719456950
32,es castell,39.8795,4.2854,22.38,88,0,6.69,ES,1719456952
33,yelizovo,53.1873,158.3805,17.08,45,0,4.0,RU,1719456953
34,saipan,15.1355,145.701,28.94,77,37,7.5,MP,1719456954
35,belmonte,-15.8631,-38.8828,22.16,87,52,2.33,BR,1719456956
36,punta arenas,-53.15,-70.9167,1.06,86,100,5.66,CL,1719456958
37,ushuaia,-54.8,-68.3,-1.19,86,100,1.54,AR,1719456696
38,santa cruz,-17.8,-63.1667,13.7,77,100,5.14,BO,1719456960
39,happy valley-goose bay,53.3168,-60.3315,13.17,88,100,11.83,CA,1719456962
40,kenai,60.5544,-151.2583,17.23,74,72,7.41,US,1719456964
41,kupang,-10.1667,123.5833,34.32,55,20,5.66,ID,1719456795
42,broken hill,-31.95,141.4333,15.79,35,0,3.94,AU,1719456966
43,port-vila,-17.7338,168.3219,24.61,76,94,7.6,VU,1719456765
44,anjiang,27.3194,110.1031,22.08,97,100,0.1,CN,1719456969
45,yelan',50.949,43.7378,15.13,85,70,1.79,RU,1719456971
46,west island,-12.1568,96.8225,27.99,74,40,6.69,CC,1719456714
47,essaouira,31.5125,-9.77,19.72,77,40,2.57,MA,1719456974
48,waitangi,-43.9535,-176.5597,9.9,79,100,2.24,NZ,1719456976
49,bandhi,26.5861,68.3006,38.26,37,82,2.44,PK,1719456977
50,tralee,52.2704,-9.7026,12.52,89,73,7.96,IE,1719456978
51,mata-utu,-13.2816,-176.1745,28.18,72,4,8.07,WF,1719456932
52,albany,42.6001,-73.9662,22.18,67,100,0.89,US,1719456981
53,haiku-pauwela,20.9219,-156.3051,27.9,72,23,2.24,US,1719456983
54,iqaluit,63.7506,-68.5145,3.85,75,75,1.03,CA,1719456984
55,kristinestad,62.2743,21.376,14.82,86,0,1.62,FI,1719456986
56,puerto natales,-51.7236,-72.4875,0.1,87,100,1.45,CL,1719456990
57,tamanrasset,22.785,5.5228,29.95,11,40,3.09,DZ,1719456721
58,georgetown,5.4112,100.3354,31.96,66,20,2.57,MY,1719456995
59,brokopondo,4.75,-55.1667,24.92,85,98,1.59,SR,1719456996
60,tucurui,-3.7661,-49.6725,24.51,74,54,1.5,BR,1719456998
61,howrah,22.5892,88.3103,32.0,79,40,3.6,IN,1719456788
62,ilebo,-4.3167,20.5833,17.66,46,15,0.99,CD,1719457001
63,ust-nera,64.5667,143.2,8.21,78,100,3.0,RU,1719457002
64,kapuskasing,49.4169,-82.4331,12.05,62,100,1.54,CA,1719457006
65,fort mcmurray,56.7268,-111.381,22.77,33,0,1.03,CA,1719457008
66,port elizabeth,-33.918,25.5701,11.29,99,2,1.03,ZA,1719457009
67,la'ie,21.6477,-157.9253,29.98,71,12,2.68,US,1719457011
68,dieppe,49.75,1.1667,18.51,74,64,1.26,FR,1719457012
69,blackmans bay,-43.0167,147.3167,10.07,75,97,0.45,AU,1719456950
70,grytviken,-54.2811,-36.5092,-6.84,91,100,3.31,GS,1719457018
71,zhuanghe,39.7008,122.9911,26.23,55,86,4.64,CN,1719457021
72,taksimo,56.3444,114.8794,26.47,41,6,1.2,RU,1719457023
73,hawaiian paradise park,19.5933,-154.9731,27.24,69,9,1.34,US,1719457024
74,utrik,11.2278,169.8474,28.08,71,77,6.79,MH,1719457026
75,columbia falls,48.3725,-114.1815,23.96,64,75,2.09,US,1719457027
76,arraial do cabo,-22.9661,-42.0278,22.77,83,1,5.74,BR,1719456825
77,broome,42.2506,-75.833,17.61,96,100,1.79,US,1719457030
78,ascension,30.2169,-90.9001,29.0,87,0,2.06,US,1719457032
79,shilong,23.1123,113.8425,32.22,62,75,2.58,CN,1719457033
80,enewetak,11.3474,162.3373,28.08,82,100,9.15,MH,1719457034
81,minas de marcona,-15.2119,-75.1103,11.98,87,89,4.65,PE,1719457036
82,port lincoln,-34.7333,135.8667,15.02,61,19,4.83,AU,1719457037
83,thompson,55.7435,-97.8558,17.09,42,20,3.09,CA,1719457039
84,kayes,14.0,-11.0,30.1,53,69,5.34,ML,1719457040
85,kattivakkam,13.2167,80.3167,30.54,77,99,7.41,IN,1719457042
86,lianghu,29.9915,120.8985,23.73,97,100,1.04,CN,1719457043
87,dakar,14.6937,-17.4441,25.07,83,75,4.12,SN,1719456791
88,viedma,-40.8135,-62.9967,8.5,72,100,4.01,AR,1719457046
89,poletayevo,55.0336,61.1138,13.9,92,100,3.88,RU,1719457047
90,aral,40.5156,81.2636,34.03,17,59,2.32,CN,1719457049
91,saint-joseph,-21.3667,55.6167,18.21,72,16,5.13,RE,1719457009
92,canutama,-6.5339,-64.3831,25.83,62,37,1.03,BR,1719457052
93,meadow lakes,61.6247,-149.6011,21.09,65,30,3.16,US,1719457053
94,beatrice,40.2681,-96.747,26.05,69,0,1.54,US,1719457055
95,lompoc,34.6391,-120.4579,20.08,74,1,1.34,US,1719457056
96,forbes,-33.3833,148.0167,17.18,44,1,2.43,AU,1719456907
97,ancud,-41.8697,-73.8203,8.8,94,100,3.9,CL,1719457059
98,praia da vitoria,38.7333,-27.0667,21.14,83,40,3.61,PT,1719457060
99,jamestown,42.097,-79.2353,16.68,98,100,1.76,US,1719457062
100,hamilton,39.1834,-84.5333,21.9,94,20,1.54,US,1719456531
101,zabol,32.25,67.25,26.74,25,0,1.67,AF,1719457065
102,ciudad madero,22.2667,-97.8333,28.92,80,10,4.85,MX,1719457066
103,ocean city,39.2776,-74.5746,23.34,85,100,1.34,US,1719457068
104,st. john's,47.5649,-52.7093,15.54,97,100,6.17,CA,1719457069
105,malabar,-33.9667,151.25,18.99,47,20,5.14,AU,1719457070
106,konotop,51.2403,33.2026,16.06,93,88,2.22,UA,1719457072
107,cockburn town,21.4612,-71.1419,27.85,88,95,8.04,TC,1719457073
108,yangchun,22.1667,111.7833,31.2,66,79,2.21,CN,1719456778
109,la ronge,55.1001,-105.2842,20.12,37,40,2.57,CA,1719457076
110,hasaki,35.7333,140.8333,27.22,75,95,4.52,JP,1719457077
111,harstad,68.799,16.5293,11.2,85,88,3.13,NO,1719457079
112,seryshevo,51.0933,128.3786,32.27,29,6,7.01,RU,1719457080
113,laguna,38.421,-121.4238,31.17,39,0,5.66,US,1719457082
114,merizo village,13.2658,144.6691,31.99,80,99,7.09,GU,1719457083
115,knysna,-34.0363,23.0471,14.01,66,0,2.27,ZA,1719457086
116,klyuchi,52.2667,79.1667,28.11,52,6,1.49,RU,1719457088
117,tolanaro,-25.0319,46.9987,19.04,88,40,4.12,MG,1719457089
118,hithadhoo,-0.6,73.0833,28.23,71,100,0.51,MV,1719457091
119,tromso,69.6496,18.957,10.01,76,100,2.57,NO,1719457092
120,rio grande,-32.035,-52.0986,6.64,79,100,6.48,BR,1719457093
121,bismarck,46.8083,-100.7837,19.25,72,0,4.12,US,1719457095
122,ilulissat,69.2167,-51.1,3.9,72,7,4.02,GL,1719457096
